Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,CreditScore,Loan_Status
Male,Yes,2,Not Graduate,Yes,26509,15582,861447,28,1,Rural,420,0
Female,Yes,3,Not Graduate,No,44095,17669,4495246,40,1,Rural,325,0
Male,Yes,2,Not Graduate,No,46289,11639,4979384,52,1,Semiurban,411,0
Male,Yes,3,Graduate,No,3373,5180,3949013,27,1,Rural,810,0
Male,No,3,Graduate,Yes,9082,17763,1904424,14,1,Semiurban,322,0
Female,Yes,2,Graduate,No,27532,16192,1171756,42,0,Urban,563,0
Male,Yes,1,Graduate,No,44661,17029,1434909,57,1,Urban,415,0
Male,Yes,3,Not Graduate,Yes,20866,5412,2489248,39,0,Semiurban,779,0
Male,No,2,Not Graduate,Yes,9593,4652,4727953,2,1,Semiurban,606,0
Female,Yes,0,Not Graduate,Yes,11495,6834,2725102,17,1,Semiurban,530,0
Male,Yes,2,Not Graduate,Yes,9837,4451,2878477,1,0,Urban,791,0
Male,No,0,Graduate,No,13172,7084,4387589,45,1,Semiurban,419,0
Male,No,3,Not Graduate,Yes,20680,12862,2851499,32,0,Urban,585,0
Male,Yes,2,Graduate,No,32346,14692,2862295,19,0,Urban,706,0
Female,Yes,2,Not Graduate,Yes,45085,16748,413688,14,0,Rural,657,0
Male,Yes,0,Not Graduate,Yes,25412,2655,4391178,31,0,Urban,451,0
Female,Yes,2,Not Graduate,No,24863,7433,262730,58,1,Semiurban,897,1
Female,Yes,2,Graduate,No,32804,1314,1290294,18,1,Semiurban,624,0
Female,No,3,Graduate,No,12934,14902,530405,52,1,Semiurban,545,0
Male,No,2,Not Graduate,Yes,32723,5272,1404108,14,1,Urban,614,0
Female,Yes,1,Not Graduate,Yes,22405,218,3885688,47,1,Urban,461,0
Male,Yes,0,Not Graduate,No,20748,4703,920376,14,1,Rural,668,0
Female,No,2,Graduate,No,7230,15994,4829282,24,1,Rural,484,0
Female,Yes,0,Graduate,Yes,48413,1539,1038033,5,1,Semiurban,575,0
Female,Yes,0,Graduate,No,24354,19817,4764331,16,1,Urban,828,0
Female,Yes,0,Not Graduate,No,10954,13145,4013407,5,1,Semiurban,735,0
Female,Yes,2,Graduate,Yes,25139,17986,693933,54,1,Semiurban,559,0
Female,Yes,2,Not Graduate,No,47022,19088,1495005,13,0,Semiurban,544,0
Female,No,0,Graduate,Yes,19388,5064,1207235,60,1,Rural,637,0
Female,Yes,1,Not Graduate,Yes,41825,13788,2832007,16,1,Semiurban,349,0
Male,Yes,0,Not Graduate,Yes,38523,17489,3529616,15,1,Rural,571,0
Male,Yes,1,Graduate,No,37614,11603,452860,31,1,Urban,534,0
Female,No,0,Not Graduate,No,37732,2488,1740305,5,1,Semiurban,883,0
Female,No,3,Not Graduate,No,43646,18802,948477,21,0,Rural,855,0
Female,No,0,Not Graduate,No,23021,16411,2420559,30,1,Urban,605,0
Male,No,0,Graduate,Yes,29702,8207,2868353,23,1,Rural,776,0
Female,Yes,2,Not Graduate,Yes,47416,12770,4100215,38,1,Semiurban,787,0
Male,No,1,Graduate,No,37523,7977,1771894,29,1,Urban,379,0
Male,Yes,3,Graduate,No,21116,4661,771768,13,1,Urban,585,0
Male,Yes,1,Not Graduate,No,8473,4549,1926136,32,1,Urban,860,0
Male,No,3,Graduate,No,49322,15029,661786,48,1,Rural,397,0
Male,No,0,Not Graduate,Yes,24735,4973,354707,42,1,Rural,777,1
Female,No,2,Graduate,No,36461,8436,4786006,27,1,Rural,705,0
Female,No,2,Not Graduate,Yes,13084,10086,2531748,34,1,Urban,836,0
Female,No,1,Graduate,No,46771,17740,387606,45,1,Semiurban,867,1
Female,Yes,2,Not Graduate,No,30756,19851,819155,49,0,Semiurban,554,0
Female,No,1,Not Graduate,No,19068,6964,941641,33,1,Urban,786,0
Male,No,1,Not Graduate,Yes,30916,14842,2708650,4,0,Semiurban,493,0
Female,No,3,Not Graduate,No,4919,1745,2015776,18,1,Urban,815,0
Female,Yes,1,Graduate,Yes,25550,12697,3323438,6,0,Semiurban,763,0
Male,No,3,Graduate,Yes,38524,3879,4261964,28,1,Semiurban,803,0
Female,Yes,2,Not Graduate,No,5283,18499,4054249,44,1,Semiurban,335,0
Male,No,1,Graduate,Yes,6691,2267,3016046,57,0,Rural,315,0
Female,No,1,Not Graduate,Yes,25212,18651,4642328,58,1,Rural,889,0
Male,Yes,0,Not Graduate,Yes,42118,9688,2241300,27,1,Urban,372,0
Female,No,1,Graduate,No,30602,15065,3367299,26,1,Rural,619,0
Female,Yes,1,Graduate,Yes,19540,10988,4665535,56,0,Urban,544,0
Male,Yes,0,Not Graduate,Yes,37829,4481,4277655,20,1,Rural,494,0
Male,Yes,0,Graduate,No,7919,929,2137444,13,1,Semiurban,388,0
Male,No,2,Not Graduate,No,24277,7773,3579231,28,1,Rural,438,0
Male,No,1,Graduate,Yes,19676,3324,4318978,34,1,Rural,862,0
Male,No,2,Graduate,Yes,44844,4587,3957087,49,1,Rural,696,0
Male,Yes,2,Graduate,Yes,11752,356,2511595,23,1,Urban,783,0
Male,No,0,Graduate,Yes,18012,15787,3158941,10,1,Urban,686,0
Male,Yes,3,Graduate,No,11175,5499,4609287,51,0,Semiurban,667,0
Female,No,2,Not Graduate,No,42670,3841,3758655,30,1,Semiurban,757,0
Female,Yes,3,Graduate,Yes,4067,12122,1949044,22,0,Semiurban,721,0
Male,Yes,1,Graduate,No,33478,13409,1445943,5,1,Rural,531,0
Female,Yes,0,Not Graduate,Yes,28439,7059,4312287,53,1,Semiurban,838,0
Female,No,1,Not Graduate,No,36747,665,4370468,44,1,Urban,643,0
Female,Yes,1,Not Graduate,No,31810,10220,434571,50,0,Semiurban,437,0
Female,Yes,0,Graduate,Yes,20302,10774,3694092,9,1,Semiurban,673,0
Male,Yes,1,Graduate,Yes,2700,553,3475546,43,1,Semiurban,736,0
Female,Yes,0,Not Graduate,Yes,38814,13860,324557,4,1,Semiurban,454,0
Male,Yes,3,Not Graduate,Yes,36841,7045,3775002,42,1,Semiurban,818,0
Female,Yes,1,Not Graduate,No,46713,9380,2850449,1,0,Urban,414,0
Female,No,0,Not Graduate,No,5048,149,2875597,34,1,Rural,391,0
Female,No,2,Graduate,Yes,35290,16373,2956655,41,1,Semiurban,645,0
Male,Yes,1,Graduate,No,13101,13343,3108487,55,1,Rural,893,0
Female,No,3,Graduate,No,31778,2853,2007124,26,1,Semiurban,824,0
Male,No,0,Graduate,Yes,29425,10128,4064466,18,1,Rural,883,0
Female,Yes,1,Graduate,Yes,43509,12580,4941035,16,1,Urban,390,0
Male,Yes,1,Not Graduate,No,19852,15254,4896937,23,1,Rural,697,0
Female,Yes,1,Graduate,Yes,26500,2736,1890221,46,0,Semiurban,404,0
Male,No,3,Not Graduate,Yes,14674,956,2735255,36,1,Rural,895,0
Male,Yes,0,Not Graduate,No,25195,11440,4936300,26,1,Rural,839,0
Female,No,2,Not Graduate,No,26371,5180,3270794,2,1,Semiurban,578,0
