Gender,Married,Dependents,Education,Self_Employed,Employment_Type,Property_Area,City_Tier,ApplicantIncome,CoapplicantIncome,Existing_EMI,Savings,Other_Debts,LoanAmount,Loan_Amount_Term,Credit_Score,Loan_Status
Male,Yes,1,Graduate,No,Self-Employed,Rural,3,32230,0,0,447352,0,715057,17,746,0
Female,Yes,0,Graduate,No,Salaried,Rural,3,127696,0,0,705277,158221,581757,12,486,0
Female,No,0,Graduate,Yes,Other,Urban,1,76809,0,0,122075,12069,176812,38,742,1
Male,Yes,2,Not Graduate,No,Salaried,Urban,1,22155,0,16605,94844,371224,1270493,27,626,0
Male,Yes,1,Not Graduate,No,Self-Employed,Rural,3,30886,18665,24341,364053,301249,1935989,36,709,0
Male,No,3+,Graduate,No,Self-Employed,Semiurban,1,80127,30978,11605,784458,450678,910658,58,641,0
Male,Yes,0,Graduate,No,Government,Rural,3,85182,24642,20314,112191,20427,1826015,30,600,0
Female,Yes,2,Not Graduate,No,Salaried,Rural,2,23341,19151,0,68089,0,1080942,29,672,0
Female,Yes,0,Graduate,No,Self-Employed,Urban,1,73424,0,0,1580,188978,549622,37,740,1
Female,Yes,3+,Graduate,Yes,Salaried,Urban,1,57846,13876,0,332261,267873,2078293,28,752,0
Male,No,3+,Graduate,No,Salaried,Semiurban,2,17186,125844,0,509641,168925,1883211,35,634,0
Female,No,0,Not Graduate,No,Government,Semiurban,3,40055,7933,22670,635153,0,754072,41,585,0
Female,No,2,Not Graduate,Yes,Government,Urban,1,46392,0,9199,281086,0,1288042,46,640,0
Male,Yes,2,Not Graduate,No,Self-Employed,Semiurban,1,51351,0,0,58350,0,3108668,56,649,0
Male,Yes,0,Graduate,No,Salaried,Rural,3,24184,0,29104,496708,0,667334,20,665,0
Male,No,1,Not Graduate,No,Government,Urban,1,32863,0,17040,16394,0,1621359,56,673,1
Male,Yes,0,Graduate,No,Salaried,Rural,2,35495,11834,0,662938,204038,1435468,31,795,0
Male,Yes,2,Not Graduate,No,Salaried,Semiurban,2,37240,0,0,496410,260452,1064354,57,620,0
Male,Yes,0,Graduate,No,Self-Employed,Rural,1,37583,0,5206,199075,0,854259,12,767,0
Male,Yes,0,Graduate,No,Salaried,Urban,1,46482,34477,0,528312,0,190590,35,621,0
Female,Yes,0,Graduate,No,Other,Urban,2,59283,0,4536,13934,437780,2060971,30,646,0
Male,No,1,Graduate,No,Salaried,Urban,1,132667,0,0,5531,563041,438317,28,788,1
Male,No,2,Not Graduate,No,Salaried,Urban,2,80722,14707,0,4191,0,1170057,32,707,1
Male,Yes,3+,Not Graduate,No,Self-Employed,Urban,2,103161,8012,17275,55237,0,613425,42,684,0
Male,Yes,0,Graduate,No,Self-Employed,Rural,2,38382,9270,0,540050,344548,2779263,36,668,0
Female,Yes,0,Not Graduate,No,Salaried,Urban,2,28785,34533,3333,268814,326583,506731,60,649,0
Male,No,2,Graduate,No,Salaried,Rural,2,77696,0,23513,432470,0,610775,34,757,0
Male,Yes,1,Not Graduate,Yes,Self-Employed,Semiurban,1,49556,0,24506,642349,393208,4029110,22,712,0
Male,No,0,Not Graduate,No,Salaried,Urban,1,74716,0,28480,658543,216642,1536152,12,638,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,2,30776,0,0,260403,0,562884,54,768,1
Female,Yes,1,Graduate,No,Self-Employed,Rural,3,71431,26630,0,120795,228279,732195,9,672,0
Male,Yes,0,Graduate,Yes,Salaried,Semiurban,1,45405,0,0,610839,0,1238152,50,794,0
Male,No,2,Not Graduate,Yes,Other,Urban,2,38804,0,5856,311349,444525,483984,40,667,0
Female,Yes,1,Graduate,No,Self-Employed,Rural,2,40866,39463,0,101044,159117,623009,23,638,0
Female,Yes,2,Not Graduate,Yes,Other,Urban,2,65481,0,27043,173623,41922,807126,45,666,0
Female,Yes,1,Not Graduate,No,Salaried,Semiurban,3,76539,15271,0,514325,0,1108740,54,784,1
Male,No,0,Graduate,Yes,Other,Semiurban,1,40874,0,0,140521,0,1402091,10,719,0
